timestamp,source_ip,destination_ip,source_port,destination_port,protocol,username,failed_logins,login_success,bytes_sent,bytes_received,duration,request_count,privilege_level
2026-09-19T08:00:12Z,192.168.1.45,10.0.0.12,49152,443,HTTPS,admin,0,1,1420,8920,45,12,User
2026-09-19T08:01:05Z,192.168.1.102,10.0.0.5,52110,80,HTTP,johndoe,0,1,450,3200,12,5,User
2026-09-19T08:02:40Z,45.33.22.11,10.0.0.1,58221,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:42Z,45.33.22.11,10.0.0.1,58222,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:44Z,45.33.22.11,10.0.0.1,58223,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:46Z,45.33.22.11,10.0.0.1,58224,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:48Z,45.33.22.11,10.0.0.1,58225,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:50Z,45.33.22.11,10.0.0.1,58226,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:52Z,45.33.22.11,10.0.0.1,58227,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:54Z,45.33.22.11,10.0.0.1,58228,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:56Z,45.33.22.11,10.0.0.1,58229,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:02:58Z,45.33.22.11,10.0.0.1,58230,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:00Z,45.33.22.11,10.0.0.1,58231,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:02Z,45.33.22.11,10.0.0.1,58232,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:04Z,45.33.22.11,10.0.0.1,58233,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:06Z,45.33.22.11,10.0.0.1,58234,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:08Z,45.33.22.11,10.0.0.1,58235,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:10Z,45.33.22.11,10.0.0.1,58236,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:12Z,45.33.22.11,10.0.0.1,58237,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:14Z,45.33.22.11,10.0.0.1,58238,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:16Z,45.33.22.11,10.0.0.1,58239,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:18Z,45.33.22.11,10.0.0.1,58240,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:20Z,45.33.22.11,10.0.0.1,58241,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:22Z,45.33.22.11,10.0.0.1,58242,22,SSH,root,1,0,120,40,2,1,User
2026-09-19T08:03:25Z,45.33.22.11,10.0.0.1,58243,22,SSH,root,0,1,1800,12000,150,15,Admin
2026-09-19T08:05:00Z,185.220.101.5,10.0.0.2,33001,21,FTP,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:01Z,185.220.101.5,10.0.0.2,33002,22,SSH,anonymous,0,0,50,0,1,1,User
